# FrameID, Timestamp_Sec, Odom_X, Odom_Y, Odom_Yaw, Lat, Lon
826, 1762515313.898717, 692990.2453, 5339035.5771, 1.0138, 48.175185265, 11.596088294
827, 1762515313.928878, 692990.2644, 5339035.5650, 1.0136, 48.175185150, 11.596088546
828, 1762515313.961741, 692990.3690, 5339035.4985, 1.0123, 48.175184524, 11.596089924
829, 1762515313.987552, 692990.4971, 5339035.4172, 1.0106, 48.175183760, 11.596091613
830, 1762515314.023346, 692990.5199, 5339035.4028, 1.0102, 48.175183624, 11.596091914
831, 1762515314.071886, 692990.6804, 5339035.3013, 1.0080, 48.175182668, 11.596094030
832, 1762515314.104030, 692990.7852, 5339035.2344, 1.0065, 48.175182038, 11.596095412
833, 1762515314.125811, 692990.7992, 5339035.2255, 1.0063, 48.175181955, 11.596095596
834, 1762515314.158588, 692990.9044, 5339035.1583, 1.0050, 48.175181322, 11.596096983
835, 1762515314.193228, 692991.0393, 5339035.0720, 1.0036, 48.175180510, 11.596098761
836, 1762515314.214136, 692991.0527, 5339035.0634, 1.0035, 48.175180429, 11.596098938
837, 1762515314.255254, 692991.2114, 5339034.9610, 1.0023, 48.175179466, 11.596101030
838, 1762515314.299878, 692991.3248, 5339034.8874, 1.0019, 48.175178774, 11.596102523
839, 1762515314.324504, 692991.4266, 5339034.8253, 1.0015, 48.175178187, 11.596103866
840, 1762515314.352777, 692991.4446, 5339034.8135, 1.0015, 48.175178077, 11.596104104
841, 1762515314.397553, 692991.5853, 5339034.7210, 1.0013, 48.175177208, 11.596105957
842, 1762515314.426367, 692991.7343, 5339034.6236, 1.0015, 48.175176291, 11.596107921
843, 1762515314.472646, 692991.8486, 5339034.5495, 1.0017, 48.175175595, 11.596109427
844, 1762515314.504908, 692991.8695, 5339034.5361, 1.0018, 48.175175469, 11.596109702
845, 1762515314.528684, 692991.9697, 5339034.4715, 1.0020, 48.175174861, 11.596111023
846, 1762515314.566439, 692992.1069, 5339034.3831, 1.0025, 48.175174029, 11.596112832
847, 1762515314.600625, 692992.1271, 5339034.3700, 1.0026, 48.175173906, 11.596113098
848, 1762515314.635442, 692992.2628, 5339034.2832, 1.0030, 48.175173089, 11.596114886
849, 1762515314.663682, 692992.4079, 5339034.1914, 1.0037, 48.175172225, 11.596116800
850, 1762515314.705347, 692992.4424, 5339034.1697, 1.0038, 48.175172020, 11.596117254
851, 1762515314.744100, 692992.5244, 5339034.1179, 1.0043, 48.175171532, 11.596118335
852, 1762515314.761360, 692992.6488, 5339034.0379, 1.0052, 48.175170780, 11.596119975
853, 1762515314.787662, 692992.6657, 5339034.0270, 1.0054, 48.175170677, 11.596120198
854, 1762515314.822584, 692992.8231, 5339033.9249, 1.0072, 48.175169716, 11.596122271
855, 1762515314.856266, 692992.9312, 5339033.8549, 1.0088, 48.175169058, 11.596123696
856, 1762515314.903775, 692993.0471, 5339033.7803, 1.0108, 48.175168356, 11.596125224
857, 1762515314.922912, 692993.0595, 5339033.7723, 1.0111, 48.175168281, 11.596125388
858, 1762515314.954739, 692993.1655, 5339033.7044, 1.0132, 48.175167642, 11.596126785
859, 1762515314.986541, 692993.3001, 5339033.6186, 1.0160, 48.175166835, 11.596128559
860, 1762515315.036618, 692993.4649, 5339033.5146, 1.0195, 48.175165856, 11.596130731
861, 1762515315.077948, 692993.4946, 5339033.4960, 1.0202, 48.175165680, 11.596131123
862, 1762515315.097743, 692993.5935, 5339033.4345, 1.0223, 48.175165100, 11.596132428
863, 1762515315.134246, 692993.7035, 5339033.3665, 1.0248, 48.175164459, 11.596133879
864, 1762515315.155376, 692993.7173, 5339033.3579, 1.0251, 48.175164379, 11.596134061
865, 1762515315.184463, 692993.8506, 5339033.2753, 1.0281, 48.175163600, 11.596135819
866, 1762515315.222096, 692993.9558, 5339033.2103, 1.0306, 48.175162987, 11.596137207
867, 1762515315.256230, 692993.9800, 5339033.1954, 1.0312, 48.175162847, 11.596137527
868, 1762515315.294455, 692994.1194, 5339033.1106, 1.0347, 48.175162047, 11.596139366
869, 1762515315.326293, 692994.2751, 5339033.0170, 1.0387, 48.175161164, 11.596141421
870, 1762515315.357142, 692994.2960, 5339033.0046, 1.0393, 48.175161046, 11.596141696
871, 1762515315.386435, 692994.4014, 5339032.9416, 1.0421, 48.175160452, 11.596143087
872, 1762515315.414086, 692994.5053, 5339032.8752, 1.0451, 48.175159827, 11.596144456
873, 1762515315.461722, 692994.6529, 5339032.7889, 1.0494, 48.175159011, 11.596146406
874, 1762515315.504290, 692994.8117, 5339032.6974, 1.0544, 48.175158146, 11.596148504
875, 1762515315.526290, 692994.8317, 5339032.6859, 1.0551, 48.175158037, 11.596148767
876, 1762515315.558072, 692994.9408, 5339032.6229, 1.0590, 48.175157441, 11.596150208
877, 1762515315.591732, 692994.9632, 5339032.6099, 1.0598, 48.175157318, 11.596150504
878, 1762515315.619569, 692995.0695, 5339032.5486, 1.0640, 48.175156739, 11.596151908
879, 1762515315.656972, 692995.2118, 5339032.4683, 1.0703, 48.175155979, 11.596153787
880, 1762515315.697045, 692995.3751, 5339032.3781, 1.0783, 48.175155123, 11.596155947
